location,region
Reyðarfjörður,Austurland
Öskjuhlíð,Höfuðborgarsvæðið
Súðavík,Vestfirðir
"Akranes, Skagabraut",Vesturland
Fosshóll,Norðurland
Fagurhólsmýri,Suðurland
Höfn,Suðurland
Baula,Vesturland
Norðurhella,Höfuðborgarsvæðið
"Keflavík, Básinn",Suðvesturhornið
Hrauneyjar,Suðurland
Barðastaðir,Höfuðborgarsvæðið
Siglufjörður,Norðurland
Vatnagarðar,Höfuðborgarsvæðið
"Miklabraut, suður",Höfuðborgarsvæðið
Fellsmúli,Höfuðborgarsvæðið
Starengi,Höfuðborgarsvæðið
Hvammstangi,Norðurland
Bústaðavegur,Höfuðborgarsvæðið
Hörgárbraut,Norðurland
Skemmuvegur,Höfuðborgarsvæðið
Húsafell,Vesturland
Staðarskáli,Norðurland
Kirkjubæjarklaustur,Suðurland
Háaleitisbraut,Höfuðborgarsvæðið
Suðurhella,Höfuðborgarsvæðið
Varmahlíð,Norðurland
Arnarsmári,Höfuðborgarsvæðið
Grenivík,Norðurland
Klettagarðar,Höfuðborgarsvæðið
Stykkishólmur,Vesturland
Akureyri BSÓ,Norðurland
Kópavogsbraut,Höfuðborgarsvæðið
Litla-Kaffistofan,Suðurland
"Akureyri, Hörgárbraut",Norðurland
Akureyri- Tryggvabraut,Norðurland
Þórshöfn,Norðurland
"Akranes, Suðurgötu",Vesturland
Árskógssandur,Norðurland
"Akranes, Smiðjuvöllum",Vesturland
Stokkseyri,Suðurland
Skjöldólfsstaðir,Austurland
Ægisíða,Höfuðborgarsvæðið
Grindavík,Suðvesturhornið
Reykhólar,Vestfirðir
Stöðvarfjörður,Austurland
Ólafsvík,Vesturland
Norðlingaholt,Höfuðborgarsvæðið
Vestmannaeyjar,Suðurland
Nesjar,Suðurland
Búðardalur,Vesturland
"Miklabraut, norður",Höfuðborgarsvæðið
Njarðvík,Suðvesturhornið
Breiðablik,Vesturland
Fjarðarkaup,Höfuðborgarsvæðið
Hornafjörður,Suðurland
Eiðistorg,Höfuðborgarsvæðið
Gagnvegur,Höfuðborgarsvæðið
Borgarnes,Vesturland
location,region
Álfheimar,Höfuðborgarsvæðið
Laugavegur,Höfuðborgarsvæðið
Vík í Mýrdal,Suðurland
Hallormsstaður,Austurland
Skógarlind,Höfuðborgarsvæðið
Seyðisfjörður,Austurland
Hofsós,Norðurland
Brautarhóll,Suðurland
"Akranes, Esjubraut",Vesturland
Hringbraut,Höfuðborgarsvæðið
Knarrarvogur,Höfuðborgarsvæðið
Stapabraut,Suðvesturhornið
Mývatn,Norðurland
Reykholt,Vesturland
Fellabær,Austurland
Skógarhlíð,Höfuðborgarsvæðið
"Akureyri, Mýrarvegur",Norðurland
Djúpivogur,Austurland
Selfoss,Suðurland
Vopnafjörður,Austurland
Kirkjustétt,Höfuðborgarsvæðið
Blönduós,Norðurland
Arnarstapi,Vesturland
"Egilsstaðir, Fagradalsbraut",Austurland
Hamraborg,Höfuðborgarsvæðið
Borgarfjörður Eystri,Austurland
Eskifjörður,Austurland
Tálknafjörður,Vestfirðir
Vesturlandsvegur,Höfuðborgarsvæðið
Húsavík,Norðurland
"Egilsstaðir, Miðvangur",Austurland
Hella,Suðurland
Vogar,Suðvesturhornið
Ártúnshöfði,Höfuðborgarsvæðið
Flúðir,Suðurland
Mosfellsbær,Höfuðborgarsvæðið
Vík,Suðurland
Sauðárkrókur,Norðurland
Flatahraun,Höfuðborgarsvæðið
